Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C90,100n,C_0402_1005Metric,310.490505,-101.886139,160.0,bottom
C91,100n,C_0402_1005Metric,326.512708,-117.838255,340.0,bottom
C92,100n,C_0402_1005Metric,179.469236,-38.350006,180.0,bottom
C93,4u7,C_0603_1608Metric,183.0,-128.4,90.0,bottom
C94,100n,C_0402_1005Metric,184.3,-128.8,270.0,bottom
D1,1N4148,D_SOD-123,52.568874,-33.345144,290.0,bottom
D2,1N4148,D_SOD-123,46.053388,-51.246277,290.0,bottom
D3,1N4148,D_SOD-123,39.537901,-69.147439,290.0,bottom
D4,1N4148,D_SOD-123,33.022435,-87.048569,290.0,bottom
D5,1N4148,D_SOD-123,26.506948,-104.949717,290.0,bottom
D6,1N4148,D_SOD-123,71.284442,-37.622982,290.0,bottom
D7,1N4148,D_SOD-123,64.768977,-55.524121,290.0,bottom
D8,1N4148,D_SOD-123,58.253485,-73.425276,290.0,bottom
D9,1N4148,D_SOD-123,51.737994,-91.326424,290.0,bottom
D10,1N4148,D_SOD-123,45.22251,-109.227573,290.0,bottom
D11,1N4148,D_SOD-123,90.814466,-39.663196,290.0,bottom
D12,1N4148,D_SOD-123,84.29897,-57.564339,290.0,bottom
D13,1N4148,D_SOD-123,77.783487,-75.465467,290.0,bottom
D14,1N4148,D_SOD-123,71.268009,-93.366619,290.0,bottom
D15,1N4148,D_SOD-123,64.752542,-111.267753,290.0,bottom
D16,1N4148,D_SOD-123,110.073009,-42.449268,290.0,bottom
D17,1N4148,D_SOD-123,103.557525,-60.350411,290.0,bottom
D18,1N4148,D_SOD-123,97.042043,-78.251544,290.0,bottom
D19,1N4148,D_SOD-123,90.526549,-96.152688,290.0,bottom
D20,1N4148,D_SOD-123,92.958903,-126.602189,290.0,bottom
D21,1N4148,D_SOD-123,126.616758,-52.694157,290.0,bottom
D22,1N4148,D_SOD-123,120.101269,-70.595284,290.0,bottom
D23,1N4148,D_SOD-123,113.585798,-88.496443,290.0,bottom
D24,1N4148,D_SOD-123,107.070312,-106.397582,290.0,bottom
D25,1N4148,D_SOD-123,115.123586,-135.691909,305.0,bottom
D26,1N4148,D_SOD-123,143.431976,-62.193162,290.0,bottom
D27,1N4148,D_SOD-123,136.916483,-80.094313,290.0,bottom
D28,1N4148,D_SOD-123,130.401008,-97.995449,290.0,bottom
D29,1N4148,D_SOD-123,123.885529,-115.896603,290.0,bottom
D30,1N4148,D_SOD-123,134.059313,-150.180634,320.0,bottom
D31,1N4148,D_SOD-123,193.063117,-67.836484,250.0,bottom
D32,1N4148,D_SOD-123,199.578592,-85.737643,250.0,bottom
D33,1N4148,D_SOD-123,206.09408,-103.638787,250.0,bottom
D34,1N4148,D_SOD-123,212.609563,-121.539931,250.0,bottom
